"year","country","pop","gdp"
2250,"USA",134.32196866134254,10247.652537748252
2251,"USA",134.00025096028517,10228.332926337303
2252,"USA",133.68176871606414,10209.18824607354
2253,"USA",133.366483576861,10190.216677268749
2254,"USA",133.05435773747064,10171.416422715
2255,"USA",132.74535393006911,10152.78570735559
2256,"USA",132.4394354151609,10134.322777961486
2257,"USA",132.1365659727016,10116.025902813297
2258,"USA",131.83670989339254,10097.893371388507
2259,"USA",131.53983197014315,10079.92349405406
2260,"USA",131.24589748969774,10062.114601763997
2261,"USA",130.95487222442304,10044.46504576221
2262,"USA",130.66672242425312,10026.97319729014
2263,"USA",130.38141480878812,10009.63744729931
2264,"USA",130.09891655954368,9992.456206168676
2265,"USA",129.8191953123478,9975.427903426633
2266,"USA",129.54221914988184,9958.550987477627
2267,"USA",129.26795659436277,9941.823925333283
2268,"USA",128.99637660036365,9925.245202347962
2269,"USA",128.72744854776914,9908.813321958643
2270,"USA",128.46114223486367,9892.52680542911
2271,"USA",128.19742787154894,9876.384191598288
2272,"USA",127.93627607268844,9860.38403663272
2273,"USA",127.677657851576,9844.52491378304
2274,"USA",127.42154461352617,9828.805413144457
2275,"USA",127.16790814958318,9813.224141421088
2276,"USA",126.91672063034704,9797.779721694107
2277,"USA",126.66795459991322,9782.470793193688
2278,"USA",126.42158296992436,9767.296011074552
2279,"USA",126.17757901373136,9752.2540461952
2280,"USA",125.93591636066164,9737.343584900653
2281,"USA",125.6965689903922,9722.563328808665
2282,"USA",125.45951122742564,9707.911994599392
2283,"USA",125.22471773566689,9693.388313808398
2284,"USA",124.99216351309822,9678.99103262295
2285,"USA",124.76182388655128,9664.718911681564
2286,"USA",124.53367450657336,9650.570725876743
2287,"USA",124.30769134238668,9636.545264160804
2288,"USA",124.08385067693813,9622.641329354805
2289,"USA",123.8621291020382,9608.857737960472
2290,"USA",123.64250351358707,9595.193319975087
2291,"USA",123.42495110688608,9581.64691870928
2292,"USA",123.20944937203254,9568.217390607682
2293,"USA",122.99597608939716,9554.903605072368
2294,"USA",122.78450932518136,9541.704444289087
2295,"USA",122.57502742705336,9528.61880305617
2296,"USA",122.36750901986156,9515.645588616091
2297,"USA",122.16193300142363,9502.783720489688
2298,"USA",121.95827853838937,9490.032130312888
2299,"USA",121.75652506217656,9477.389761675991
2300,"USA",121.5566522649779,9464.855569965446
2301,"USA",121.35864009583771,9452.428522208014
2302,"USA",121.16246875679714,9440.107596917363
2303,"USA",120.9681186991063,9427.891783943012
2304,"USA",120.77557061950236,9415.78008432154
2305,"USA",120.58480545655198,9403.77151013014
2306,"USA",120.395804387057,9391.865084342342
