File Description: RCMIP SSP119 effective radiative forcing scenario from 1750-2500.,,,,,,,,,,,,,,,,,
"Code Source: Extracted using default Python model version of FAIR2.0, available at https://github.com/njleach/
FAIR/tree/47c6eec031d2edcf09424394dbb86581a1b246ba",,,,,,,,,,,,,,,,,
"Paper Reference: Leach et al. 2021. ""FaIRv2.0.0: a generalized impulse response model for climate
uncertainty and future scenario exploration,"" Geoscientific Model Development. https://doi.org/10.5194/gmd-14-3007-2021",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
year,co2,ch4,n2o,other_wmghg,o3_tropospheric,o3_stratospheric,h2o_stratospheric,contrails,aerosol-radiation_interactions,aerosol-cloud_interactions,bc_on_snow,land_use,volcanic,solar,total_anthropogenic,total_natural,total
1790,0.057778368,0.012415777,0.002752844,8.82E-09,0.008,0,0.001588956,0,-0.003724578,-0.01420493,0.001338967,-0.00917829,0.174562968,0.12065716,0.056767122,0.295220128,0.35198725
1791,0.059847231,0.012755199,0.002742618,9.16E-09,0.0082,0,0.001632395,0,-5.00E-05,-0.005337372,0.000844475,-0.009407747,0.18187782,0.106554231,0.07122678,0.288432051,0.359658831
1792,0.061835891,0.013110665,0.002742574,9.50E-09,0.0084,0,0.001677887,0,0.001521565,-0.002047387,0.000721416,-0.009637205,0.184335183,0.088379548,0.078325417,0.272714731,0.351040147
1793,0.063645066,0.013362595,0.002691745,9.84E-09,0.0086,0,0.001710128,0,0.000958233,-0.002403883,0.000626582,-0.009866662,0.185160646,0.057599592,0.079323815,0.242760238,0.322084053
1794,0.065294756,0.013717846,0.002654451,1.02E-08,0.0088,0,0.001755593,0,-0.005082607,-0.016356559,0.001309614,-0.010096119,0.18543793,0.021733845,0.061996984,0.207171775,0.269168758
1795,0.066824664,0.014084827,0.002596807,1.05E-08,0.009,0,0.001802559,0,-0.002228477,-0.010942351,0.001184297,-0.010325576,0.185531072,-0.016159978,0.071996759,0.169371094,0.241367853
1796,0.068076159,0.014506424,0.002542563,1.09E-08,0.0092,0,0.001856514,0,-0.000741026,-0.005230221,0.000625453,-0.010555034,0.055954732,-0.05002885,0.080280843,0.005925882,0.086206725
1797,0.069426834,0.014965802,0.002495087,1.12E-08,0.0094,0,0.001915305,0,-0.002608349,-0.012348388,0.001306227,-0.010784491,-0.042979024,-0.075067791,0.073768038,-0.118046815,-0.044278777
1798,0.070598468,0.015498929,0.002437439,1.15E-08,0.0096,0,0.001983534,0,-0.004196994,-0.016365074,0.001538796,-0.011013948,0.057361097,-0.08729865,0.070081161,-0.029937553,0.040143608
1799,0.072007897,0.016014348,0.002389943,1.19E-08,0.0098,0,0.002049496,0,-0.003918719,-0.014142128,0.00123623,-0.011243405,0.140169975,-0.084771355,0.074193673,0.055398619,0.129592292
1800,0.073615555,0.016523899,0.00231198,1.22E-08,0.01,0,0.002114708,0,-0.006009826,-0.018179462,0.001334451,-0.011477677,0.170218716,-0.066565472,0.070233641,0.103653245,0.173886886
1801,0.075302189,0.017034396,0.002261115,1.26E-08,0.0102,0,0.002180041,0,-0.003934529,-0.015031766,0.001372836,-0.011716461,0.180413926,-0.036690349,0.077667834,0.143723576,0.22139141
1802,0.076789911,0.017607259,0.002230572,1.29E-08,0.0104,0,0.002253355,0,-0.00464366,-0.015256013,0.001184297,-0.011955246,0.183843228,-0.008546892,0.078610487,0.175296335,0.253906822
1803,0.078356655,0.018228114,0.002169533,1.32E-08,0.0106,0,0.002332812,0,-0.00247552,-0.010141462,0.000928019,-0.012194031,0.184995386,0.008613752,0.087804134,0.193609138,0.281413272
1804,0.080022161,0.018868408,0.0021051,1.36E-08,0.0108,0,0.002414756,0,-0.000333471,-0.007836238,0.001123332,-0.012432815,0.185382413,0.010891438,0.094731246,0.19627385,0.291005097
1805,0.081548406,0.019568266,0.002037277,1.39E-08,0.011,0,0.002504322,0,-0.004499722,-0.015813855,0.001323161,-0.0126716,0.185512422,0.002342317,0.084996269,0.187854739,0.272851008
1806,0.083292345,0.020266372,0.001972867,1.43E-08,0.0112,0,0.002593665,0,-0.002735048,-0.013494275,0.001411221,-0.012910385,0.185556088,-0.012135027,0.091596778,0.173421061,0.265017839
1807,0.085015884,0.021022647,0.00190842,1.46E-08,0.0114,0,0.002690452,0,-0.004169392,-0.017014993,0.001604277,-0.01314917,0.185570758,-0.03218178,0.089308141,0.153388978,0.242697119
1808,0.086738879,0.021823985,0.001850778,1.50E-08,0.0116,0,0.002793007,0,-0.009025002,-0.029516126,0.00241714,-0.013387954,0.185575686,-0.053835393,0.075294722,0.131740293,0.207035015
1809,0.088124842,0.022648699,0.001755864,1.53E-08,0.0118,0,0.002898553,0,-0.006984628,-0.023340577,0.001914745,-0.013626739,-3.365872305,-0.073351726,0.085190774,-3.439224031,-3.354033257
1810,0.089748159,0.02356883,0.00167785,1.56E-08,0.012,0,0.00301631,0,-0.007631475,-0.02520444,0.002051352,-0.013865524,-2.314014199,-0.08676823,0.085361077,-2.400782429,-2.315421353
1811,0.09113338,0.024536609,0.001589703,1.60E-08,0.0122,0,0.003140165,0,-0.004662796,-0.018703163,0.001746528,-0.014104308,-0.712485792,-0.091464007,0.096876134,-0.803949799,-0.707073665
1812,0.092557987,0.025454871,0.001488016,1.63E-08,0.0124,0,0.003257683,0,-0.002471815,-0.013577067,0.001469928,-0.014343093,-0.118747168,-0.086191009,0.106236526,-0.204938176,-0.09870165
1813,0.093903202,0.026371488,0.0013626,1.67E-08,0.0126,0,0.00337499,0,-0.003872921,-0.016119298,0.001515087,-0.014581878,0.083231235,-0.07051242,0.104553287,0.012718815,0.117272103
1814,0.095346984,0.027063885,0.001240572,1.70E-08,0.0128,0,0.003463603,0,-0.009599738,-0.029325867,0.002187958,-0.014820663,0.151193247,-0.049607635,0.088356751,0.101585613,0.189942363
1815,0.096552995,0.027869133,0.001071115,1.73E-08,0.013,0,0.003566657,0,-0.007145655,-0.02512497,0.002139412,-0.015059447,-3.341989072,-0.030637322,0.096869258,-3.372626394,-3.275757137
1816,0.097877575,0.028629664,0.000942316,1.77E-08,0.0132,0,0.003663989,0,-0.006916751,-0.023162409,0.001842491,-0.015383422,-4.328997963,-0.019030486,0.10069347,-4.348028449,-4.247334978
1817,0.099221563,0.029616572,0.0008203,1.80E-08,0.0134,0,0.003790292,0,-0.007372229,-0.026245997,0.002239891,-0.015754265,-1.519703927,-0.017283221,0.099716145,-1.536987148,-1.437271002
1818,0.100663981,0.030419617,0.000698256,1.84E-08,0.0136,0,0.003893065,0,-0.01005532,-0.033156977,0.002683579,-0.016125107,-0.39562969,-0.024631097,0.092621113,-0.420260787,-0.327639674
1819,0.102086437,0.031106381,0.000627065,1.87E-08,0.0138,0,0.003980956,0,-0.00880872,-0.02907777,0.00232908,-0.016495949,-0.010037122,-0.038032,0.099547498,-0.048069122,0.051478376
1820,0.103547876,0.031718197,0.000481322,1.90E-08,0.014,0,0.004059256,0,-0.011694686,-0.034820712,0.002519877,-0.016866791,0.119851546,-0.05534865,0.092944357,0.064502896,0.157447253
1821,0.104910394,0.032415059,0.000355907,1.94E-08,0.0142,0,0.004148439,0,-0.010240629,-0.033343394,0.002660999,-0.017237634,0.060191002,-0.071947674,0.097869162,-0.011756672,0.08611249
1822,0.106134314,0.033261951,0.000230499,1.97E-08,0.0144,0,0.004256823,0,-0.01038848,-0.031609008,0.002311016,-0.017608476,0.065248335,-0.083367303,0.10098866,-0.018118967,0.082869693
1823,0.107377814,0.034033184,0.000101686,2.01E-08,0.0146,0,0.004355525,0,-0.008075818,-0.026702525,0.002085221,-0.017979318,-0.27025189,-0.085769793,0.109795788,-0.356021683,-0.246225895
1824,0.108916918,0.034797095,-6.10E-05,2.04E-08,0.0148,0,0.004453289,0,-0.006658641,-0.026326055,0.00240585,-0.018354944,-0.029845555,-0.074147356,0.113972509,-0.103992911,0.009979598
1825,0.110061326,0.035551292,-0.000267811,2.08E-08,0.015,0,0.00454981,0,-0.010153433,-0.03276431,0.00253907,-0.018762871,0.11038089,-0.044209832,0.105753095,0.066171059,0.171924153
1826,0.110396748,0.036230708,-0.000464418,2.11E-08,0.0152,0,0.004636761,0,-0.008115069,-0.029393576,0.002519877,-0.019170797,0.160189785,-0.010824578,0.111840255,0.149365207,0.261205462
1827,0.110396809,0.03686226,-0.000637299,2.14E-08,0.0154,0,0.004717587,0,-0.009532439,-0.033447179,0.002805508,-0.019578724,0.177044084,0.013574738,0.106986545,0.190618823,0.297605367
1828,0.11069289,0.037538184,-0.000759354,2.18E-08,0.0156,0,0.00480409,0,-0.015134073,-0.047153832,0.003646596,-0.01998665,0.182711217,0.020985017,0.089247872,0.203696234,0.292944106
1829,0.111738122,0.038155443,-0.00089157,2.21E-08,0.0158,0,0.004883086,0,-0.01306802,-0.041252359,0.0031792,-0.020394577,0.184615123,0.011952277,0.098149347,0.1965674,0.294716747
1830,0.113000237,0.03873769,-0.001020409,2.25E-08,0.016,0,0.004957602,0,-0.01427655,-0.045348193,0.003447896,-0.020802503,0.185254677,-0.007782464,0.094695792,0.177472213,0.272168005
1831,0.114301406,0.03925301,-0.001169597,2.28E-08,0.0162,0,0.005023552,0,-0.010454979,-0.03648994,0.002974855,-0.02121043,-2.244924772,-0.034334661,0.108427899,-2.279259433,-2.170831534
1832,0.114912636,0.039719046,-0.001427323,2.31E-08,0.0164,0,0.005083194,0,-0.009147994,-0.033968119,0.002891311,-0.021652684,-1.498952382,-0.059451604,0.11281009,-1.558403986,-1.445593896
