"year","carbon_dioxide"
2068,9.630809605306368
2069,9.50563408921228
2070,9.380458572756543
2071,9.176926445839628
2072,8.973394319219453
2073,8.769862192495365
2074,8.566330065667097
2075,8.36279793904991
2076,8.159265811917276
2077,7.955733685423905
2078,7.752201558722999
2079,7.54866943182682
2080,7.345137304922459
2081,7.083094259349272
2082,6.821051213120182
2083,6.559008167663727
2084,6.296965121785362
2085,6.034922076188455
2086,5.772879030153
2087,5.510835984036818
2088,5.248792938497725
2089,4.986749892365722
2090,4.724706846672817
2091,4.563190567336363
2092,4.401674288222455
2093,4.240158008856
2094,4.078641729668453
2095,3.917125450231908
2096,3.755609171104363
2097,3.5940928920433635
2098,3.432576612235909
2099,3.2710603332220898
2100,3.1095440537991808
2101,3.038664180439363
2102,2.9697231218299094
2103,2.9026613847098184
2104,2.8374214370661814
2105,2.7739476402760905
2106,2.712186178438364
2107,2.6520849938331823
2108,2.5935937235509092
2109,2.536663639574728
2110,2.4812475911170897
2111,2.427299946439636
2112,2.3747765422993634
2113,2.323634630408454
2114,2.273832828538636
2115,2.225331072244089
2116,2.1780905706848195
2117,2.132073760250728
2118,2.087244264339272
2119,2.043566851365272
2120,2.001007395946092
2121,1.959532841605637
2122,1.9191111632680895
2123,1.879711333933091
2124,1.8413032901495443
2125,1.8038578990390906
2126,1.7673469293823636
2127,1.7317430189770906
2128,1.6970196475055455
2129,1.6631511083015453
2130,1.6301124812781813
2131,1.5978796074624548
2132,1.5664290641010004
2133,1.5357381404634538
2134,1.5057848149352724
2135,1.4765477329609091
2136,1.448006185169182
2137,1.4201400870267267
2138,1.3929299587990913
2139,1.3663569064349994
2140,1.3404026024517273
2141,1.3150492691798183
2142,1.2902796600744544
2143,1.2660770444009994
2144,1.2424251902007266
2145,1.219308349330364
2146,1.1967112420309092
2147,1.1746190431322723
2148,1.1530173672226367
2149,1.1318922559336362
2150,1.1112301645330904
2151,1.0910179492857268
2152,1.0712428554741813
2153,1.0518925057033637
2154,1.0329548882781814
2155,1.0144183464136363
2156,0.9962715676303638
2157,0.9785035734706365
2158,0.9611037094003635
2159,0.9440616354384539
2160,0.9273673168475455
2161,0.911011015108091
2162,0.894983278825909
2163,0.8792749360434545
2164,0.8638770857670001
2165,0.8487810895824549
2166,0.8339785649380904
2167,0.8194613769927275
2168,0.8052216316985451
2169,0.791251668999
2170,0.7775440555551827
2171,0.7640915791069091
2172,0.7508872413968176
2173,0.7379242520517271
2174,0.7251960231477276
2175,0.7126961629696368
2176,0.7004184705349087
2177,0.6883569301854549
2178,0.6765057062809089
2179,0.6648591379838181
2180,0.653411734565727
2181,0.642158170110818
2182,0.6310932791585452
2183,0.6202120522797271
2184,0.6095096309582729
2185,0.5989813039996361
2186,0.5886225031000909
2187,0.5784287985368182
2188,0.5683958955040912
2189,0.5585196300665456
2190,0.5487959655785455
2191,0.539220988640727
2192,0.5297909062789095
2193,0.5205020415995456
2194,0.5113508310010909
2195,0.5023338207218185
2196,0.4934476637255452
2197,0.4846891163116361
2198,0.47605503541309074
2199,0.46754237546618177
2200,0.45914818548054553
2201,0.45087148317518194
2202,0.44270980540690924
2203,0.4346607682489092
2204,0.4267220643965454
2205,0.41889146062827276
2206,0.4111667958057272
2207,0.40354597837881806
2208,0.3960269842587273
2209,0.3886078547132723
2210,0.38128669415563626
2211,0.3740616683244547
2212,0.36693100211263635
2213,0.35989297783063623
2214,0.352945933235182
2215,0.3460882595555458
2216,0.33931840011436365
2217,0.33263484826499995
2218,0.32603614583645435
2219,0.31952088150736363
2220,0.3130876892274545
2221,0.30673524659209084
2222,0.3004622734011819
2223,0.2942675303345454
2224,0.28814981711181814
2225,0.28210797161209106
2226,0.27614086819609074
2227,0.2702474165912729
2228,0.26442656030018186
2229,0.25867727579481803
2230,0.2529985709552725
2231,0.24738948412990905
2232,0.24184908286418177
2233,0.23637646278490923
2234,0.23097074656554545
2235,0.2256310829539091
2236,0.22035664561199989
2237,0.21514663227599995
2238,0.21000026360045462
2239,0.20491678242136363
2240,0.1998954527975455
2241,0.19493555905581816
2242,0.19003640499736366
2243,0.18519731307
2244,0.1804176236026363
2245,0.17569669402009103
2246,0.17103389793245447
2247,0.16642862463490912
2248,0.16188027834109098
2249,0.1573882773106364
2250,0.15295205351809085
2251,0.148571051692909
2252,0.14424472885554543
2253,0.13997255386281812
2254,0.13575400641954546
2255,0.13158857698118184
2256,0.12747576588
2257,0.12341508291600001
2258,0.11940604694181815
2259,0.11544818525536366
2260,0.11154103322890914
2261,0.10768413368863641
2262,0.1038770367891818
2263,0.10011929921836367
2264,0.09641048414918175
2265,0.0927501605511818
2266,0.08913790313181816
2267,0.08557329163963637
2268,0.08205591092154543
2269,0.07858535007490909
2270,0.07516120281218183
2271,0.07178306653145453
2272,0.06845054235736366
2273,0.06516323486945452
2274,0.061920751773
2275,0.058722703566272745
2276,0.05556870357190909
2277,0.052458367466181814
2278,0.04939131307636364
2279,0.04636716046963635
2280,0.04338553137736362
2281,0.0404460492452727
2282,0.037548339119454564
2283,0.03469202720045452
2284,0.0318767410761818
2285,0.029102109329454513
2286,0.026367761367545445
2287,0.023673327592636358
2288,0.021018439063636343
2289,0.018402727225909087
2290,0.01582582443054545
2291,0.013287363085909092
2292,0.010786976111999988
2293,0.008324296693909094
2294,0.005898958202181776
2295,0.0035105940730909223
2296,0.0011588379919091325
2297,-0.001156676425363648
2298,-0.003436315588909101
2299,-0.0056804456716363465
2300,-0.007889433089727274
2301,-0.007889433089727274
2302,-0.007889433089727274
2303,-0.007889433089727274
2304,-0.007889433089727274
2305,-0.007889433089727274
2306,-0.007889433089727274
2307,-0.007889433089727274
2308,-0.007889433089727274
2309,-0.007889433089727274
2310,-0.007889433089727274
2311,-0.007889433089727274
2312,-0.007889433089727274
2313,-0.007889433089727274
2314,-0.007889433089727274
2315,-0.007889433089727274
2316,-0.007889433089727274
2317,-0.007889433089727274
2318,-0.007889433089727274
2319,-0.007889433089727274
2320,-0.007889433089727274
2321,-0.007889433089727274
2322,-0.007889433089727274
2323,-0.007889433089727274
2324,-0.007889433089727274
2325,-0.007889433089727274
2326,-0.007889433089727274
2327,-0.007889433089727274
2328,-0.007889433089727274
2329,-0.007889433089727274
2330,-0.007889433089727274
2331,-0.007889433089727274
2332,-0.007889433089727274
2333,-0.007889433089727274
2334,-0.007889433089727274
2335,-0.007889433089727274
2336,-0.007889433089727274
2337,-0.007889433089727274
2338,-0.007889433089727274
2339,-0.007889433089727274
2340,-0.007889433089727274
2341,-0.007889433089727274
2342,-0.007889433089727274
2343,-0.007889433089727274
2344,-0.007889433089727274
2345,-0.007889433089727274
2346,-0.007889433089727274
2347,-0.007889433089727274
2348,-0.007889433089727274
2349,-0.007889433089727274
2350,-0.007889433089727274
2351,-0.007889433089727274
2352,-0.007889433089727274
2353,-0.007889433089727274
2354,-0.007889433089727274
2355,-0.007889433089727274
2356,-0.007889433089727274
2357,-0.007889433089727274
2358,-0.007889433089727274
2359,-0.007889433089727274
2360,-0.007889433089727274
2361,-0.007889433089727274
2362,-0.007889433089727274
2363,-0.007889433089727274
2364,-0.007889433089727274
2365,-0.007889433089727274
2366,-0.007889433089727274
2367,-0.007889433089727274
2368,-0.007889433089727274
2369,-0.007889433089727274
2370,-0.007889433089727274
2371,-0.007889433089727274
2372,-0.007889433089727274
2373,-0.007889433089727274
2374,-0.007889433089727274
2375,-0.007889433089727274
2376,-0.007889433089727274
2377,-0.007889433089727274
2378,-0.007889433089727274
2379,-0.007889433089727274
2380,-0.007889433089727274
2381,-0.007889433089727274
2382,-0.007889433089727274
2383,-0.007889433089727274
2384,-0.007889433089727274
2385,-0.007889433089727274
2386,-0.007889433089727274
2387,-0.007889433089727274
2388,-0.007889433089727274
2389,-0.007889433089727274
2390,-0.007889433089727274
2391,-0.007889433089727274
2392,-0.007889433089727274
2393,-0.007889433089727274
2394,-0.007889433089727274
2395,-0.007889433089727274
2396,-0.007889433089727274
2397,-0.007889433089727274
2398,-0.007889433089727274
2399,-0.007889433089727274
2400,-0.007889433089727274
2401,-0.007889433089727274
2402,-0.007889433089727274
2403,-0.007889433089727274
2404,-0.007889433089727274
2405,-0.007889433089727274
2406,-0.007889433089727274
2407,-0.007889433089727274
2408,-0.007889433089727274
2409,-0.007889433089727274
2410,-0.007889433089727274
2411,-0.007889433089727274
2412,-0.007889433089727274
2413,-0.007889433089727274
2414,-0.007889433089727274
2415,-0.007889433089727274
2416,-0.007889433089727274
2417,-0.007889433089727274
2418,-0.007889433089727274
2419,-0.007889433089727274
2420,-0.007889433089727274
2421,-0.007889433089727274
2422,-0.007889433089727274
2423,-0.007889433089727274
2424,-0.007889433089727274
2425,-0.007889433089727274
2426,-0.007889433089727274
2427,-0.007889433089727274
2428,-0.007889433089727274
2429,-0.007889433089727274
2430,-0.007889433089727274
2431,-0.007889433089727274
2432,-0.007889433089727274
2433,-0.007889433089727274
2434,-0.007889433089727274
2435,-0.007889433089727274
2436,-0.007889433089727274
2437,-0.007889433089727274
2438,-0.007889433089727274
2439,-0.007889433089727274
2440,-0.007889433089727274
2441,-0.007889433089727274
2442,-0.007889433089727274
2443,-0.007889433089727274
2444,-0.007889433089727274
2445,-0.007889433089727274
2446,-0.007889433089727274
2447,-0.007889433089727274
2448,-0.007889433089727274
2449,-0.007889433089727274
2450,-0.007889433089727274
2451,-0.007889433089727274
2452,-0.007889433089727274
2453,-0.007889433089727274
2454,-0.007889433089727274
2455,-0.007889433089727274
2456,-0.007889433089727274
2457,-0.007889433089727274
2458,-0.007889433089727274
2459,-0.007889433089727274
2460,-0.007889433089727274
2461,-0.007889433089727274
2462,-0.007889433089727274
2463,-0.007889433089727274
2464,-0.007889433089727274
2465,-0.007889433089727274
2466,-0.007889433089727274
2467,-0.007889433089727274
2468,-0.007889433089727274
2469,-0.007889433089727274
2470,-0.007889433089727274
2471,-0.007889433089727274
2472,-0.007889433089727274
2473,-0.007889433089727274
2474,-0.007889433089727274
2475,-0.007889433089727274
2476,-0.007889433089727274
2477,-0.007889433089727274
2478,-0.007889433089727274
2479,-0.007889433089727274
2480,-0.007889433089727274
2481,-0.007889433089727274
2482,-0.007889433089727274
2483,-0.007889433089727274
2484,-0.007889433089727274
2485,-0.007889433089727274
2486,-0.007889433089727274
2487,-0.007889433089727274
2488,-0.007889433089727274
2489,-0.007889433089727274
2490,-0.007889433089727274
2491,-0.007889433089727274
2492,-0.007889433089727274
2493,-0.007889433089727274
2494,-0.007889433089727274
2495,-0.007889433089727274
2496,-0.007889433089727274
2497,-0.007889433089727274
2498,-0.007889433089727274
2499,-0.007889433089727274
2500,-0.007889433089727274
2501,-0.007889433089727274
